"","regija","leto","vrsta.zemljisca","povrsina"
"554","mb",2007,"zelena krma",10070
"555","mb",2010,"zelena krma",10818
"556","mb",2013,"zelena krma",10426
"557","nm",2013,"zelena krma",7227
"558","slo",2007,"zelena krma",51469
"559","nm",2007,"zelena krma",6645
"560","nm",2010,"zelena krma",7374
"561","slo",2005,"zelena krma",53665
"562","nm",2005,"zelena krma",8081
"563","slo",2003,"zelena krma",47922
"564","po",2010,"zelena krma",1152
"565","sg",2016,"zelena krma",2678
"566","za",2005,"zelena krma",121
"567","sg",2013,"zelena krma",2084
"568","sg",2010,"zelena krma",2411
"569","ms",2007,"zelena krma",3793
"570","lj",2007,"zelena krma",10655
"571","po",2007,"zelena krma",1013
"572","lj",2005,"zelena krma",10372
"573","ms",2003,"zelena krma",4540
"574","ms",2005,"zelena krma",5130
"575","lj",2003,"zelena krma",9096
"576","sg",2005,"skupaj",56688
"577","mb",2003,"žita",28673
"578","mb",2005,"žita",27470
"579","kk",2005,"žita",7364
"580","ce",2005,"žita",5692
"581","ms",2013,"travniki in pašniki",8273
"582","za",2010,"žita",35
"583","ms",2013,"skupaj",86437
"584","mb",2007,"žita",29483
"585","kp",2013,"žita",302
"586","kp",2005,"skupaj",27563
"587","mb",2010,"žita",27995
"588","sg",2013,"skupaj",57163
"589","ng",2005,"skupaj",60932
"590","kr",2003,"žita",1685
"591","kk",2016,"žita",6910
"592","mb",2013,"žita",28882
"593","sg",2003,"skupaj",59762
"594","ce",2007,"žita",4948
"595","kr",2007,"žita",1933
"596","ms",2005,"žita",38148
"597","ms",2003,"žita",38657
"598","nm",2016,"žita",6143
"599","kk",2007,"žita",6984
"600","kk",2003,"žita",7392
"601","ng",2013,"žita",1200
"602","ms",2007,"žita",41461
"603","kr",2005,"žita",1893
"604","kk",2013,"žita",6632
"605","nm",2010,"žita",5877
"606","ce",2016,"žita",4231
"607","kr",2013,"žita",1856
"608","nm",2005,"žita",6684
"609","ce",2007,"skupaj",137996
"610","sg",2010,"žita",345
"611","ng",2007,"žita",1226
"612","ng",2003,"skupaj",70845
"613","ng",2016,"žita",875
"614","kp",2010,"žita",249
"615","slo",2010,"skupaj",897769
"616","ng",2013,"skupaj",60118
"617","lj",2007,"žita",4955
"618","kr",2010,"skupaj",82802
"619","ms",2013,"žita",44680
"620","ms",2010,"žita",39201
"621","po",2016,"skupaj",43021
"622","sg",2007,"žita",212
"623","ng",2010,"žita",1213
"624","slo",2010,"žita",93941
"625","kp",2016,"žita",289
"626","ms",2016,"žita",43222
"627","slo",2003,"žita",98286
"628","kp",2005,"žita",478
"629","ce",2003,"žita",6084
"630","slo",2005,"žita",94637
"631","slo",2013,"žita",99231
"632","ce",2010,"žita",4637
"633","kk",2010,"žita",6650
"634","nm",2013,"žita",6202
"635","ce",2013,"žita",4658
"636","lj",2010,"žita",5365
"637","lj",2016,"žita",4914
"638","lj",2013,"žita",4209
"639","lj",2005,"žita",4814
"640","kr",2016,"žita",1823
"641","kr",2010,"žita",2105
"642","nm",2003,"žita",7100
"643","sg",2016,"žita",346
"644","slo",2007,"žita",98584
"645","sg",2013,"žita",294
"646","lj",2003,"žita",5768
"647","nm",2007,"žita",6533
